,precision,recall,f1-score,support
0,0.36257309941520466,0.5933014354066986,0.45009074410163336,209.0
1,0.7157190635451505,0.49537037037037035,0.585499316005472,432.0
accuracy,0.5273010920436817,0.5273010920436817,0.5273010920436817,0.5273010920436817
macro avg,0.5391460814801776,0.5443359028885344,0.5177950300535527,641.0
weighted avg,0.6005747476275862,0.5273010920436817,0.5413489392068725,641.0
