,precision,recall,f1-score,support
0,0.42028985507246375,0.5612903225806452,0.4806629834254143,155.0
1,0.6582914572864321,0.5219123505976095,0.5822222222222223,251.0
accuracy,0.5369458128078818,0.5369458128078818,0.5369458128078818,0.5369458128078818
macro avg,0.5392906561794479,0.5416013365891273,0.5314426028238183,406.0
weighted avg,0.5674287766382422,0.5369458128078818,0.5434496064254113,406.0
