lab,cnt 2014-2016
WBC,493963
HGB,600343
PLT,513918
NA,557868
K,725413
CL,651120
CR,537512
BUN,535589
GLU,1415629
CO2,530795
CA,533212
TP,231529
ALB,237330
ALKP,230877
TBIL,234905
AST,231075
ALT,231068
DBIL,46942
IBIL,44419
PHA,209002
PCO2A,207245
PO2A,207245
