clinical_item_id,name,base_name
68380,UMETF(High),UMETF
67367,UMETF(InRange),UMETF
68596,UMETF(Result),UMETF
68417,UMG(High),UMG
68447,UMG(InRange),UMG
71225,UMG(Result),UMG
67866,UMYOG(Abnormal),UMYOG
67014,UMYOG(High),UMYOG
69211,UMYOG(InRange),UMYOG
68240,UMYOG(Result),UMYOG
67416,UNA(High),UNA
66542,UNA(InRange),UNA
67118,UNA(Result),UNA
66647,UNACR(High),UNACR
66541,UNACR(Result),UNACR
69333,UNCAN(InRange),UNCAN
68549,UNCRU(High),UNCRU
66405,UNCRU(InRange),UNCRU
69385,UNCRU(Result),UNCRU
71218,UNFLD(InRange),UNFLD
68005,UNFLD(Result),UNFLD
71490,UNORE1(High),UNORE1
73201,UNORE1(InRange),UNORE1
67877,UNORMET(High),UNORMET
67865,UNORMET(InRange),UNORMET
69503,UNORMET(Result),UNORMET
68349,UNORMETF(High),UNORMETF
67368,UNORMETF(InRange),UNORMETF
68381,UNORMETF(Result),UNORMETF
69327,UNPPD(InRange),UNPPD
71663,UNRDID(Result),UNRDID
69318,UNTET(InRange),UNTET
67951,UNUCRU(High),UNUCRU
66404,UNUCRU(InRange),UNUCRU
69384,UNUCRU(Result),UNUCRU
66876,UOSM(High),UOSM
66496,UOSM(InRange),UOSM
69723,UOSM(Low),UOSM
67470,UOSM(Result),UOSM
67093,UPH(High),UPH
66102,UPH(InRange),UPH
67922,UPH(Result),UPH
66946,UPIEI(Result),UPIEI
66947,UPIER(Result),UPIER
66995,UPORIN(Result),UPORIN
68553,UPREG(Abnormal),UPREG
66781,UPREG(Result),UPREG
66229,UPROT(Abnormal),UPROT
66101,UPROT(Result),UPROT
67255,UPROTCR(High),UPROTCR
68008,UPROTCR(InRange),UPROTCR
67420,UPROTCR(Result),UPROTCR
68964,UPROTTOT(High),UPROTTOT
67256,UPROTTOT(InRange),UPROTTOT
67534,UPROTTOT(Result),UPROTTOT
66456,URBC(Abnormal),URBC
66098,URBC(Result),URBC
68973,UREAVOL(High),UREAVOL
67332,UREAVOL(InRange),UREAVOL
68156,UREAVOL(Result),UREAVOL
67798,URENAL(Abnormal),URENAL
67057,URENAL(Result),URENAL
67101,URIC(Abnormal),URIC
67218,URIC(High),URIC
66407,URIC(InRange),URIC
66994,URIC(Result),URIC
69804,URICADVOL(InRange),URICADVOL
70248,URICFLD(InRange),URICFLD
67474,URICFLD(Result),URICFLD
69560,URICRU(High),URICRU
70317,URICRU(InRange),URICRU
69271,URICRU(Result),URICRU
70913,URICURN(High),URICURN
69061,URICURN(InRange),URICURN
71536,UT(InRange),UT
67669,UT(Result),UT
68199,UT1(InRange),UT1
71308,UT1(Low),UT1
69655,UT1(Result),UT1
71555,UT10(High),UT10
67346,UT10(InRange),UT10
68025,UT10(Result),UT10
68139,UT11(InRange),UT11
73489,UT11(Low),UT11
67499,UT11(Result),UT11
68418,UT12(InRange),UT12
73481,UT12(Low),UT12
69116,UT2(InRange),UT2
72928,UT2(Low),UT2
68614,UT2(Result),UT2
70707,UT3(High),UT3
66525,UT3(InRange),UT3
67228,UT3(Result),UT3
69506,UT35(InRange),UT35
69432,UT4(High),UT4
67331,UT4(InRange),UT4
68155,UT4(Result),UT4
67830,UT5(InRange),UT5
73704,UT5(Low),UT5
68943,UT5(Result),UT5
73519,UT52(High),UT52
71883,UT52(InRange),UT52
73591,UT53(InRange),UT53
73316,UT53(Result),UT53
72924,UT7(InRange),UT7
68339,UT8(InRange),UT8
73306,UT8(Low),UT8
71197,UT8(Result),UT8
69803,UT9(InRange),UT9
70341,UT9(Low),UT9
69643,UURAC(Result),UURAC
67873,UURN(High),UURN
66406,UURN(InRange),UURN
68154,UURN(Result),UURN
69771,UVOL(High),UVOL
67990,UVOL(InRange),UVOL
66999,UVOL(Result),UVOL
66434,UWBC(Abnormal),UWBC
66097,UWBC(Result),UWBC
66459,UWBCC(Abnormal),UWBCC
69559,UWBCC(Result),UWBCC
69641,UXANT(Result),UXANT
70516,VALINE(High),VALINE
71382,VALINE(High),VALINE
68053,VALINE(InRange),VALINE
69974,VALINE(InRange),VALINE
70383,VALINE(Low),VALINE
69754,VALINE(Low),VALINE
68605,VANCOPEAK(High),VANCOPEAK
68033,VANCOPEAK(InRange),VANCOPEAK
68234,VANCOPEAK(Low),VANCOPEAK
70201,VANCOPEAK(Result),VANCOPEAK
67393,VANCOSDD(High),VANCOSDD
67072,VANCOSDD(InRange),VANCOSDD
69207,VANCOSDD(Result),VANCOSDD
66343,VANCOTROUGH(High),VANCOTROUGH
66468,VANCOTROUGH(InRange),VANCOTROUGH
66566,VANCOTROUGH(Low),VANCOTROUGH
68196,VANCOTROUGH(Result),VANCOTROUGH
68032,VANPO2(Result),VANPO2
68031,VANPO3(Result),VANPO3
68030,VANPO4(Result),VANPO4
66342,VANPR2(Result),VANPR2
66341,VANPR3(Result),VANPR3
66340,VANPR4(Result),VANPR4
67071,VANUN2(Result),VANUN2
67070,VANUN3(Result),VANUN3
67069,VANUN4(Result),VANUN4
67443,VCA(Result),VCA
67504,VCAA(High),VCAA
67133,VCAA(Result),VCAA
67442,VCAM(Result),VCAM
70117,VD25D2(High),VD25D2
70160,VD25D2(InRange),VD25D2
69252,VD25D2(Result),VD25D2
70044,VD25D3(High),VD25D3
69251,VD25D3(InRange),VD25D3
70238,VD25D3(Result),VD25D3
67655,VDRL(Result),VDRL
71191,VGDES(Result),VGDES
71626,VGGDES(Result),VGGDES
71800,VGGQNT(High),VGGQNT
71627,VGGQNT(InRange),VGGQNT
72936,VGGQNT(Low),VGGQNT
72538,VGGQNT(Result),VGGQNT
71628,VGGQUL(Result),VGGQUL
71414,VGQNT(High),VGQNT
70970,VGQNT(InRange),VGQNT
71172,VGQNT(Low),VGQNT
71091,VGQNT(Result),VGQNT
70968,VGQUL(Result),VGQUL
67143,VHDI(Result),VHDI
67147,VHDX(Result),VHDX
67145,VHIN(Result),VHIN
68315,VHINT(Result),VHINT
67142,VHMD(Result),VHMD
67144,VHME(Result),VHME
67146,VHRE(Result),VHRE
69611,VIP(High),VIP
69830,VIP(InRange),VIP
69382,VIP(Result),VIP
69936,VIROR(Result),VIROR
69938,VIROS(Result),VIROS
69937,VIROTN(Result),VIROTN
68427,VISCOS(High),VISCOS
68697,VISCOS(InRange),VISCOS
70646,VISCOS(Low),VISCOS
70645,VISCOS(Result),VISCOS
67424,VITB1(High),VITB1
69864,VITB1(InRange),VITB1
67934,VITB1(Low),VITB1
66669,VITB1(Result),VITB1
69811,VITB6(High),VITB6
70441,VITB6(InRange),VITB6
68407,VITB6(Low),VITB6
68223,VITB6(Result),VITB6
69606,VITE(High),VITE
67656,VITE(InRange),VITE
69769,VITE(Low),VITE
70528,VITE(Result),VITE
70558,VITK(High),VITK
69809,VITK(InRange),VITK
69213,VITK(Low),VITK
71230,VLDL(InRange),VLDL
69652,VLDL(Result),VLDL
69479,VMA(High),VMA
68861,VMA(InRange),VMA
68317,VMA(Result),VMA
68860,VMAINT(Result),VMAINT
68859,VMAUR(High),VMAUR
69478,VMAUR(InRange),VMAUR
68314,VMAUR(Result),VMAUR
71071,VMDES(Result),VMDES
73376,VMQNT(High),VMQNT
71497,VMQNT(InRange),VMQNT
71090,VMQNT(Result),VMQNT
70967,VMQUL(Result),VMQUL
73621,VOL(High),VOL
67670,VOL(InRange),VOL
67735,VOL(Result),VOL
69810,VOL1(High),VOL1
68200,VOL1(InRange),VOL1
69656,VOL1(Result),VOL1
70865,VOL10(High),VOL10
67347,VOL10(InRange),VOL10
71417,VOL10(Result),VOL10
68140,VOL11(InRange),VOL11
67500,VOL11(Result),VOL11
73503,VOL12(High),VOL12
68419,VOL12(InRange),VOL12
72392,VOL2(High),VOL2
69117,VOL2(InRange),VOL2
68615,VOL2(Result),VOL2
68903,VOL3(High),VOL3
66526,VOL3(InRange),VOL3
69291,VOL3(Result),VOL3
69507,VOL35(InRange),VOL35
71450,VOL5(High),VOL5
67831,VOL5(InRange),VOL5
68944,VOL5(Result),VOL5
73701,VOL52(High),VOL52
71884,VOL52(InRange),VOL52
73317,VOL53(InRange),VOL53
73664,VOL53(Result),VOL53
72925,VOL7(InRange),VOL7
73541,VOL8(High),VOL8
68341,VOL8(InRange),VOL8
71198,VOL8(Result),VOL8
71002,VOLUMEURN(High),VOLUMEURN
67862,VOLUMEURN(InRange),VOLUMEURN
70919,VOLUMEURN(InRange),VOLUMEURN
71571,VOLUMEURN(InRange),VOLUMEURN
73066,VOLUMEURN(InRange),VOLUMEURN
73258,VOLUMEURN(Result),VOLUMEURN
72021,VOLUMEURN(Result),VOLUMEURN
70350,VOLUMEURN(Result),VOLUMEURN
67823,VOLUMEURN(Result),VOLUMEURN
67226,VORI(Result),VORI
67619,VPA(High),VPA
67254,VPA(InRange),VPA
66420,VPA(Low),VPA
66419,VPA(Result),VPA
68143,VPAFREE(HighPanic),VPAFREE
67972,VPAFREE(InRange),VPAFREE
68641,VPAFREE(Low),VPAFREE
69732,VPAFREE(Result),VPAFREE
66418,VPAL2(Result),VPAL2
66417,VPAL3(Result),VPAL3
66416,VPAL4(Result),VPAL4
68142,VPATOTAL(High),VPATOTAL
68501,VPATOTAL(HighPanic),VPATOTAL
67971,VPATOTAL(InRange),VPATOTAL
68640,VPATOTAL(Low),VPATOTAL
70569,VPATOTAL(Result),VPATOTAL
67102,VWAG(High),VWAG
68147,VWAG(InRange),VWAG
69739,VWAG(Low),VWAG
69715,VWAG(Result),VWAG
