base_name,window,consecutive,total,normal
12202R,1,0,1,0
12202R,1,NULL,56,25
12202R,2,0,2,1
12202R,2,NULL,55,24
12202R,4,0,3,1
12202R,4,NULL,54,24
12202R,7,0,4,2
12202R,7,NULL,53,23
12202R,30,0,5,3
12202R,30,NULL,52,22
12202R,90,0,5,3
12202R,90,NULL,52,22
12203R,1,0,1,0
12203R,1,NULL,56,31
12203R,2,0,2,1
12203R,2,NULL,55,30
12203R,4,0,3,1
12203R,4,NULL,54,30
12203R,7,0,4,2
12203R,7,NULL,53,29
12203R,30,0,5,2
12203R,30,NULL,52,29
12203R,90,0,5,2
12203R,90,NULL,52,29
12239R,1,1,1,1
12239R,1,NULL,101,87
12239R,2,1,3,3
12239R,2,NULL,99,85
12239R,4,1,1,1
12239R,4,2,1,1
12239R,4,3,1,1
12239R,4,NULL,99,85
12239R,7,1,2,2
12239R,7,2,1,1
12239R,7,3,1,1
12239R,7,NULL,98,84
12239R,30,1,2,2
12239R,30,2,1,1
12239R,30,3,1,1
12239R,30,4,1,1
12239R,30,NULL,97,83
12239R,90,0,1,1
12239R,90,1,3,2
12239R,90,2,1,1
12239R,90,3,1,1
12239R,90,4,1,1
12239R,90,5,1,1
12239R,90,NULL,94,81
12243R,1,NULL,11,3
12243R,2,0,1,1
12243R,2,NULL,10,2
12243R,4,0,1,1
12243R,4,NULL,10,2
12243R,7,0,2,1
12243R,7,NULL,9,2
12243R,30,0,3,2
12243R,30,NULL,8,1
12243R,90,0,3,2
12243R,90,NULL,8,1
12244R,1,NULL,11,3
12244R,2,0,1,1
12244R,2,NULL,10,2
12244R,4,0,1,1
12244R,4,NULL,10,2
12244R,7,0,2,1
12244R,7,NULL,9,2
12244R,30,0,3,2
12244R,30,NULL,8,1
12244R,90,0,3,2
12244R,90,NULL,8,1
12245R,1,NULL,11,3
12245R,2,0,1,1
12245R,2,NULL,10,2
12245R,4,0,1,1
12245R,4,NULL,10,2
12245R,7,0,2,1
12245R,7,NULL,9,2
12245R,30,0,3,1
12245R,30,NULL,8,2
12245R,90,0,3,1
12245R,90,NULL,8,2
12246R,1,NULL,11,5
12246R,2,0,1,1
12246R,2,NULL,10,4
12246R,4,0,1,1
12246R,4,NULL,10,4
12246R,7,0,2,1
12246R,7,NULL,9,4
12246R,30,0,3,2
12246R,30,NULL,8,3
12246R,90,0,3,2
12246R,90,NULL,8,3
12247R,1,NULL,11,7
12247R,2,0,1,1
12247R,2,NULL,10,6
12247R,4,0,1,1
12247R,4,NULL,10,6
12247R,7,0,2,1
12247R,7,NULL,9,6
12247R,30,0,3,2
12247R,30,NULL,8,5
12247R,90,0,3,2
12247R,90,NULL,8,5
12248R,1,NULL,11,5
12248R,2,0,1,0
12248R,2,NULL,10,5
12248R,4,0,1,0
12248R,4,NULL,10,5
12248R,7,0,2,0
12248R,7,NULL,9,5
12248R,30,0,3,1
12248R,30,NULL,8,4
12248R,90,0,3,1
12248R,90,NULL,8,4
12249R,1,NULL,11,4
12249R,2,0,1,1
12249R,2,NULL,10,3
12249R,4,0,1,1
12249R,4,NULL,10,3
12249R,7,0,2,1
12249R,7,NULL,9,3
12249R,30,0,3,2
12249R,30,NULL,8,2
12249R,90,0,3,2
12249R,90,NULL,8,2
12250R,1,NULL,11,3
12250R,2,0,1,1
12250R,2,NULL,10,2
12250R,4,0,1,1
12250R,4,NULL,10,2
12250R,7,0,2,1
12250R,7,NULL,9,2
12250R,30,0,3,1
12250R,30,NULL,8,2
12250R,90,0,3,1
12250R,90,NULL,8,2
12251R,1,NULL,11,2
12251R,2,0,1,1
12251R,2,NULL,10,1
12251R,4,0,1,1
12251R,4,NULL,10,1
12251R,7,0,2,1
12251R,7,NULL,9,1
12251R,30,0,3,1
12251R,30,NULL,8,1
12251R,90,0,3,1
12251R,90,NULL,8,1
12252R,1,NULL,11,5
12252R,2,0,1,1
12252R,2,NULL,10,4
12252R,4,0,1,1
12252R,4,NULL,10,4
12252R,7,0,2,1
12252R,7,NULL,9,4
12252R,30,0,3,2
12252R,30,NULL,8,3
12252R,90,0,3,2
12252R,90,NULL,8,3
12253R,1,NULL,11,3
