iter	Passed	Remaining
388	16292	67473
389	16317	67362
390	16346	67266
391	16376	67176
392	16406	67089
393	16439	67010
394	16468	66914
395	16496	66820
396	16526	66731
397	16556	66640
398	16582	66538
399	16611	66446
400	16640	66353
401	16668	66259
402	16692	66148
403	16717	66040
404	16745	65947
405	16774	65858
406	16802	65766
407	16835	65692
408	16875	65643
409	16917	65606
410	16953	65546
411	16987	65477
412	17014	65379
413	17054	65334
414	17087	65260
415	17120	65190
416	17153	65117
417	17184	65037
418	17214	64955
419	17246	64878
420	17278	64804
421	17317	64756
422	17351	64690
423	17382	64611
424	17414	64534
425	17450	64476
426	17484	64410
427	17518	64341
428	17544	64247
429	17573	64162
430	17600	64073
431	17626	63976
432	17656	63898
433	17687	63821
434	17717	63743
435	17748	63668
436	17776	63582
437	17804	63494
438	17834	63416
439	17864	63337
440	17899	63277
441	17930	63202
442	17961	63127
443	17991	63051
444	18021	62973
445	18053	62903
446	18085	62835
447	18115	62758
448	18153	62708
449	18186	62643
450	18214	62560
451	18243	62481
452	18274	62406
453	18302	62324
454	18329	62238
455	18360	62166
456	18389	62089
457	18420	62017
458	18452	61949
459	18484	61882
460	18513	61804
461	18542	61728
462	18569	61643
463	18597	61564
464	18624	61482
465	18654	61406
466	18682	61329
467	18709	61246
468	18740	61176
469	18769	61100
470	18795	61014
471	18826	60946
472	18854	60867
473	18883	60792
474	18912	60717
475	18941	60644
476	18983	60611
477	19011	60534
478	19043	60470
479	19070	60391
480	19096	60306
481	19128	60244
482	19156	60167
483	19186	60095
484	19214	60020
485	19241	59941
486	19267	59859
487	19292	59775
488	19316	59686
489	19346	59618
490	19374	59544
491	19402	59468
492	19432	59400
493	19468	59350
494	19501	59291
495	19532	59227
496	19557	59145
497	19589	59081
498	19617	59008
499	19646	58939
500	19678	58878
501	19708	58810
502	19744	58762
503	19777	58704
504	19813	58654
505	19850	58608
506	19886	58560
507	19914	58489
508	19957	58460
509	19994	58415
510	20026	58354
511	20056	58288
512	20086	58224
513	20116	58156
514	20141	58078
515	20171	58011
516	20201	57948
517	20231	57882
518	20259	57812
519	20290	57749
520	20321	57687
521	20352	57626
522	20382	57561
523	20411	57494
524	20440	57427
525	20472	57369
526	20500	57300
527	20528	57230
528	20553	57152
529	20582	57087
530	20611	57021
531	20638	56949
532	20668	56887
533	20697	56821
