iter	Logloss
0	0.6826881012
1	0.6738915819
2	0.6656826484
3	0.6568262467
4	0.649490516
5	0.6428571289
6	0.636354693
7	0.6309204852
8	0.6255225902
9	0.6212028644
10	0.6172444181
11	0.6128705793
12	0.6088107126
13	0.6055585601
14	0.6023559786
15	0.5991986518
16	0.5962228612
17	0.5934521089
18	0.5907068867
19	0.5884819576
20	0.586110091
21	0.5840832431
22	0.5820441163
23	0.5802632587
24	0.5783837289
25	0.5768638619
26	0.5754126353
27	0.5739966685
28	0.5726238374
29	0.5712781553
30	0.5702870236
31	0.5689364579
32	0.567927362
33	0.5668514883
34	0.5657353341
35	0.5648778052
36	0.5638177541
37	0.5627949276
38	0.5619496469
39	0.5610437655
40	0.5603049605
41	0.5594896913
42	0.5587529138
43	0.5580724551
44	0.557308845
45	0.5565572126
46	0.5560119332
47	0.5553851112
48	0.554914266
49	0.5543362087
50	0.5538163771
51	0.5533137335
52	0.5526986204
53	0.5521758534
54	0.5517690294
55	0.5512523142
56	0.5507947408
57	0.5504762789
58	0.5499881511
59	0.5496463547
60	0.5492197844
61	0.5488125801
62	0.5483901803
63	0.5479756556
64	0.5475984005
65	0.5471528602
66	0.5468387983
67	0.5463789503
68	0.5460871166
69	0.5455700028
70	0.5453177208
71	0.5449757309
72	0.5446132411
73	0.5442564304
74	0.5439181502
75	0.5435164043
76	0.5431662854
77	0.5428310627
78	0.5426171625
79	0.5422706971
80	0.5420745131
81	0.541776652
82	0.541425326
83	0.5410966356
84	0.5407003376
85	0.5404444005
86	0.5401602354
87	0.539889387
88	0.5396827918
89	0.539448219
90	0.539230051
91	0.5388948677
92	0.5386298819
93	0.5383773683
94	0.5381983
95	0.5379325251
96	0.5377285458
97	0.5374290229
98	0.5372253806
99	0.5369544845
100	0.5366588375
101	0.5364165207
102	0.5360889403
103	0.5358817354
104	0.5356276152
105	0.5354395021
106	0.5351897869
107	0.534981164
108	0.5347784459
109	0.5345332397
110	0.534268213
111	0.534041576
112	0.5338229499
113	0.5336583772
114	0.5334425337
115	0.5332825594
116	0.5331627836
117	0.5328970608
118	0.5327176481
119	0.5325833097
120	0.5324044048
121	0.5321303173
122	0.5319495131
123	0.5317244405
124	0.5314990388
125	0.5312001958
126	0.5309810513
127	0.5307407881
128	0.5303972341
129	0.530230521
130	0.5299753833
131	0.529774102
132	0.5295654159
133	0.5293970484
134	0.5291522498
135	0.5289466392
136	0.5287533629
137	0.5285274964
138	0.5283198552
139	0.5281187255
140	0.5279783485
141	0.5278792834
142	0.5277264247
143	0.5275223869
