iter	Logloss
144	0.5272847229
145	0.5270296997
146	0.5268878983
147	0.526745285
148	0.5265271001
149	0.5262735464
150	0.5259560578
151	0.525827823
152	0.5255830731
153	0.5254059508
154	0.5252446348
155	0.524988706
156	0.5248715762
157	0.5246289749
158	0.5243723045
159	0.5242625539
160	0.5241152045
161	0.5238756921
162	0.5237084072
163	0.5235231694
164	0.5232247004
165	0.5230951681
166	0.5230491373
167	0.5229186065
168	0.5227545536
169	0.5225182646
170	0.522331898
171	0.522223788
172	0.5220804815
173	0.521871849
174	0.5215921214
175	0.5214134764
176	0.5212128968
177	0.5209888677
178	0.5207367674
179	0.5205073794
180	0.5203510928
181	0.5201175514
182	0.5199011547
183	0.519755367
184	0.5195835609
185	0.5193402855
186	0.5192208396
187	0.5190766974
188	0.518873245
189	0.5187084839
190	0.5185572752
191	0.5184231518
192	0.5182242834
193	0.5180899018
194	0.5179451155
195	0.5177487194
196	0.5176361855
197	0.5175003932
198	0.5173278806
199	0.5171739301
200	0.5169611376
201	0.5167191422
202	0.5165949419
203	0.5164063727
204	0.5162820304
205	0.5161182841
206	0.5158827523
207	0.5156824818
208	0.515489989
209	0.5152778687
210	0.5150505463
211	0.5149119235
212	0.5146532111
213	0.5144987545
214	0.5143303429
215	0.5140973681
216	0.5138993496
217	0.5137061791
218	0.513426453
219	0.513292167
220	0.5130312401
221	0.5128107673
222	0.5126297646
223	0.5124853703
224	0.5122953816
225	0.5119872912
226	0.5117681129
227	0.5116209439
228	0.5113941452
229	0.5112564157
230	0.5111117249
231	0.5108275925
232	0.510687028
233	0.5104277905
234	0.5102864975
235	0.5100239549
236	0.5097694949
237	0.5095900838
238	0.5093800999
239	0.5091275891
240	0.5089210497
241	0.5087147849
242	0.5084940765
243	0.508321973
244	0.5080925855
245	0.5078344061
246	0.5075751867
247	0.5073234754
248	0.5069985802
249	0.5067823281
250	0.5065381297
251	0.5062506787
252	0.5059938102
253	0.5057917659
254	0.5055179401
255	0.5052536518
256	0.5050106634
257	0.5046846371
258	0.5044319649
259	0.5041742383
260	0.5039146924
261	0.5036625819
262	0.5034957689
263	0.50327658
264	0.5029927733
265	0.5026328617
266	0.5023752609
267	0.502130207
268	0.5017911352
269	0.5014880991
270	0.5012052078
271	0.5009995335
272	0.5007182927
273	0.5004197958
274	0.5001620803
275	0.4999197513
276	0.4997161152
277	0.4993826274
278	0.4991254145
279	0.4989142384
280	0.4986656257
281	0.498442325
282	0.4982019776
283	0.4979351089
284	0.4976567648
285	0.4973420353
286	0.4970394428
287	0.4968144554
288	0.4965328617
289	0.4962862788
290	0.4960281318
291	0.4958127764
292	0.4955472653
293	0.495353258
294	0.4950842046
295	0.4948363437
296	0.494555649
297	0.4942335611
298	0.4939237607
299	0.4936869591
300	0.4934489855
301	0.4931587143
302	0.4929969261
303	0.4928225348
304	0.4925518739
305	0.4923435338
306	0.4921045564
307	0.4918322177
308	0.4916137838
309	0.4913056461
310	0.4910426491
311	0.4907337106
312	0.4905173005
313	0.4902225859
314	0.4899910799
315	0.489817623
316	0.4895396931
317	0.4892623542
318	0.489039887
319	0.4887826823
320	0.4885614545
321	0.4883635217
322	0.488068794
323	0.4878444244
324	0.4875840842
325	0.4873415566
326	0.4870146943
327	0.4868689872
328	0.4866514467
329	0.4863650927
330	0.4861183753
331	0.4858093004
332	0.485539886
333	0.4853059063
334	0.4851197091
335	0.4848559179
336	0.4846001381
337	0.4843711358
338	0.484180131
339	0.483943187
340	0.4837612836
341	0.4834958484
342	0.4831777957
343	0.4828712062
344	0.482653659
345	0.4823819198
346	0.482158794
347	0.4818174103
348	0.4815058619
349	0.4813646306
350	0.4810442658
351	0.480765789
352	0.4804972033
353	0.480278869
354	0.4800843729
355	0.4798220285
356	0.4796447286
357	0.4793095897
358	0.4790859181
359	0.4789177963
360	0.4786534261
361	0.4784041743
362	0.4780930529
363	0.4778585034
364	0.4775962551
365	0.4773864898
366	0.4771482133
367	0.4770047957
368	0.4768543198
369	0.4766436126
370	0.4764774683
371	0.4763205461
372	0.4762249554
373	0.4760036662
374	0.4758092874
375	0.4755716581
376	0.4753681833
377	0.4751829593
378	0.4749694466
379	0.4748626638
380	0.4745886434
381	0.4743133246
382	0.4741150475
383	0.4738760715
384	0.4737096457
385	0.4734459991
386	0.4732786209
387	0.4730322703
388	0.4727969115
389	0.4725975651
390	0.4723582564
391	0.4721893118
392	0.4719940852
393	0.4717957673
394	0.4715913517
395	0.4713586405
396	0.4711944655
397	0.4709523827
398	0.4707610825
399	0.4705717861
400	0.4703491647
401	0.4701698869
402	0.4699830108
403	0.4697585416
404	0.4695669564
405	0.4693484956
406	0.4691324038
407	0.4689393145
408	0.4686166236
409	0.4684694525
410	0.468290589
411	0.4681521721
412	0.4680280698
413	0.467788526
414	0.4675661367
415	0.4673449504
416	0.4670967476
417	0.4668697754
418	0.466714156
419	0.466474449
420	0.4662687192
421	0.4660731744
422	0.4658457508
423	0.465668789
424	0.4655057502
425	0.4652493013
426	0.4650354254
427	0.4648321655
428	0.4646531606
429	0.4644857158
430	0.4643338334
431	0.4642277903
432	0.4640423887
433	0.4638445549
434	0.4636119934
435	0.4634749784
436	0.4632949602
437	0.4630707396
438	0.4628241235
439	0.4626232593
440	0.4623268653
441	0.4620832351
442	0.4618885112
443	0.461699684
444	0.4614963904
445	0.4614193489
446	0.4611389999
447	0.4609829167
448	0.4608155835
449	0.4606097808
450	0.4604594948
451	0.4602212162
452	0.459905391
453	0.4597499588
454	0.459631466
455	0.4593733273
456	0.4591386718
457	0.4589025357
458	0.4586994132
459	0.4585468762
460	0.458353824
461	0.4581689238
462	0.4579741226
463	0.4577952851
464	0.4575960799
465	0.4573476195
466	0.4571170149
467	0.4568635709
468	0.4566359507
469	0.456472721
470	0.4562606982
471	0.4560007826
472	0.4558143377
473	0.4556573307
474	0.4554719801
475	0.455295141
476	0.4550779075
477	0.4548878179
478	0.4546204395
479	0.4544986918
480	0.4543532721
481	0.453997045
482	0.4538179152
483	0.453653418
484	0.4534390404
485	0.4532938681
486	0.4531254659
487	0.4529886071
488	0.4529037058
489	0.4526645939
490	0.4524377031
491	0.4522496038
492	0.4520892873
493	0.4519086056
494	0.4517132459
495	0.4514956144
496	0.45139257
497	0.4512157351
498	0.4510389538
499	0.4508679867
500	0.4506292079
501	0.4504659881
502	0.4502330485
503	0.4500491201
504	0.4498507082
505	0.4496953387
506	0.4494420447
507	0.4492935761
508	0.4491015532
509	0.448923082
510	0.4487733377
511	0.4486444526
512	0.4484667077
513	0.4482341844
514	0.4480661566
515	0.4478693618
516	0.4476587523
517	0.4475101181
518	0.4472796769
519	0.4470442215
520	0.4468248632
521	0.4465756129
522	0.4463435174
523	0.4461932896
524	0.4460272572
525	0.4458789124
526	0.4456479209
527	0.4454869061
528	0.4453996652
529	0.4452385263
530	0.4449738452
531	0.4447775138
532	0.4445979204
533	0.4443687936
