,mutual_info_regression_score
age,0.016723967189245403
DEMOG_sex_Female,0.0010828722288109827
DEMOG_sex_Male,0.0010332599030959955
DEMOG_sex_Unknown,0.0
DEMOG_canonical_race_Asian,0.0014768038388317528
DEMOG_canonical_race_Black,0.0017102112564419958
DEMOG_canonical_race_Native American,0.00022935141713487095
DEMOG_canonical_race_Other,0.0017738267417206632
DEMOG_canonical_race_Pacific Islander,0.0007188149741714778
DEMOG_canonical_race_Unknown,0.00010466854219925992
DEMOG_canonical_race_White,0.0031002674233542304
DEMOG_canonical_ethnicity_Hispanic/Latino,0.001841804446268247
DEMOG_canonical_ethnicity_Non-Hispanic,0.0029151637822466547
DEMOG_canonical_ethnicity_Unknown,0.0
DIAG_BLD001,0.0
DIAG_BLD003,0.001431734942298979
DIAG_BLD004,0.006552191646459926
DIAG_BLD006,0.010543061410076549
DIAG_BLD007,0.0027290765294074593
DIAG_BLD008,0.0014330848313701683
DIAG_CIR007,0.0019062468405357524
DIAG_CIR008,0.0
DIAG_CIR011,0.0015159967248377093
DIAG_CIR012,0.004237478820021456
DIAG_CIR015,0.002721912273201621
DIAG_CIR016,4.422842181162068e-06
DIAG_CIR017,0.0005271749120852043
DIAG_CIR019,0.0007010281012718167
DIAG_CIR020,0.0
DIAG_CIR024,0.0
DIAG_CIR026,5.886163231361152e-05
DIAG_CIR031,0.005475450321685171
DIAG_DIG004,0.0011665870613055684
DIAG_DIG022,0.0004205469161548958
DIAG_DIG025,0.0016538109086980946
DIAG_EAR003,0.00014048789970511066
DIAG_END001,0.0013372572606198396
DIAG_END002,0.0
DIAG_END003,0.00011936155120473302
DIAG_END007,0.00011927267923184104
DIAG_END008,0.0
DIAG_END009,0.0
DIAG_END010,0.0
DIAG_END011,0.0016121183304365072
DIAG_END014,0.0001106158739034857
DIAG_END016,9.473353768030268e-05
DIAG_EXT019,0.0
DIAG_EXT027,4.7488019898622724e-05
DIAG_FAC001,0.0
DIAG_FAC006,0.005203785099632263
DIAG_FAC008,0.0031567429249175216
DIAG_FAC009,0.006741520295168613
DIAG_FAC010,0.0
DIAG_FAC011,2.2916663278915728e-05
DIAG_FAC012,0.0
DIAG_FAC014,0.0062463244272454865
DIAG_FAC016,0.0
DIAG_FAC019,4.2476188356843636e-05
DIAG_FAC020,9.210659167679935e-05
DIAG_FAC021,0.0
DIAG_FAC022,0.002520848531909925
DIAG_FAC024,0.0
DIAG_FAC025,0.002381656709208091
DIAG_GEN002,0.005425248538479144
DIAG_GEN003,0.0
DIAG_GEN004,0.004585492943704139
DIAG_GEN023,0.0
DIAG_INF002,0.0032290514453299224
DIAG_INF008,0.00167367689599085
DIAG_INJ028,0.0006857786828839973
DIAG_INJ030,0.0003744886576746431
DIAG_INJ031,0.003311055493417925
DIAG_MBD002,0.0017917060364971427
DIAG_MBD005,0.0
DIAG_MBD013,0.005805089376886841
DIAG_MBD026,0.0
DIAG_MUS007,0.0
DIAG_MUS010,0.010187685157596382
DIAG_MUS011,0.0015464314156568015
DIAG_MUS013,0.0028011404350001268
DIAG_MUS025,0.0027494230298286126
DIAG_MUS026,0.0
DIAG_MUS028,0.0009656302461618083
DIAG_MUS038,0.0024093616523135353
DIAG_NEO074,0.00033205424987625687
DIAG_NVS010,0.0
DIAG_NVS016,0.0
DIAG_NVS019,0.001756048009529998
DIAG_NVS020,0.0001577912481128818
DIAG_RSP002,0.003533704361689649
DIAG_RSP007,0.000293817846951705
DIAG_RSP009,0.0007544051122900797
DIAG_RSP011,0.006540393815601009
DIAG_RSP012,0.009640554840273596
DIAG_RSP016,0.009033356501145784
DIAG_SKN001,0.0
DIAG_SKN002,0.0
DIAG_SKN005,0.0
DIAG_SKN006,0.0003149161167730341
DIAG_SYM001,0.001116505403174095
DIAG_SYM002,0.0
DIAG_SYM004,0.007462051950883231
DIAG_SYM005,0.0
DIAG_SYM006,0.004185224756659833
DIAG_SYM007,0.003710842065946851
DIAG_SYM008,0.0
DIAG_SYM010,0.0
DIAG_SYM011,0.00454108351705651
DIAG_SYM012,0.00107129588667787
DIAG_SYM013,0.0
DIAG_SYM014,0.0036382106352870203
DIAG_SYM015,0.0037240267414491157
DIAG_SYM016,0.002250641394722752
DIAG_SYM017,0.0009432384671324012
MED_A2A,0.005883180439909097
MED_A4A,0.0
MED_A4D,0.0
MED_A4F,0.0
MED_A6U,0.004903456904165493
MED_A7B,0.0018674294366241018
MED_A9A,0.0033990826551935083
MED_B62,0.0007593892400645785
MED_B6W,0.0046454205144605965
MED_C1B,0.0
MED_C1D,0.0
MED_C1F,0.00813244180444106
MED_C1H,0.0003672434038213268
MED_C1W,0.005609368546742877
MED_C3B,0.0011405654228591189
MED_C4G,0.007067140487315493
MED_C4L,0.00042423701334981523
MED_C5J,0.0
MED_C5K,0.0007657272794416858
MED_C6C,0.0013260971190978132
MED_C6D,0.0064901512152468754
MED_C6Z,0.0
MED_D0U,0.0
MED_D1D,0.016945837057165125
MED_D4B,0.00016310351925441502
MED_D4D,0.003100527161362665
MED_D4J,0.0
MED_D4N,0.0
MED_D6D,0.002058227565083115
MED_D6S,0.0013310982149437045
MED_H0A,0.007334269203587818
MED_H1U,0.0
MED_H20,0.0018642284368106665
MED_H21,0.0028335517472735106
MED_H22,0.0020212255712033222
MED_H2C,0.010917277502754619
MED_H2E,0.004000090222420649
MED_H2S,0.002252657826634641
MED_H2Z,0.0
MED_H3A,0.0
MED_H3D,7.292138076642196e-05
MED_H3E,0.0016492259418769972
MED_H3H,0.0014553911007721965
MED_H3T,0.001301799187567898
