base_name,window,consecutive,total,normal
25OHDT,2,2,2,2
25OHDT,4,1,23,19
25OHDT,4,2,3,3
25OHDT,7,1,27,22
25OHDT,7,2,4,4
25OHDT,30,1,34,26
25OHDT,30,2,4,4
25OHDT,30,3,1,1
25OHDT,90,1,39,29
25OHDT,90,2,4,4
25OHDT,90,3,2,2
25OHDT,90,4,1,1
5FC,1,1,3,3
5FC,2,1,5,4
5FC,4,1,5,4
5FC,7,1,5,4
5FC,7,2,1,1
5FC,30,1,8,6
5FC,30,2,2,2
5FC,90,1,8,6
5FC,90,2,2,2
5HIAAURN,7,1,1,1
5HIAAURN,30,1,1,1
5HIAAURN,90,1,1,1
A1AANTITRYPF,1,1,3,0
A1AANTITRYPF,2,1,3,0
A1AANTITRYPF,4,1,4,0
A1AANTITRYPF,7,1,5,1
A1AANTITRYPF,30,1,5,1
A1AANTITRYPF,30,2,1,1
A1AANTITRYPF,90,1,6,1
A1AANTITRYPF,90,2,1,1
A1AANTITRYPF,90,3,1,0
A1C,1,1,465,416
A1C,1,2,11,9
A1C,2,1,682,613
A1C,2,2,30,28
A1C,2,3,1,1
A1C,4,1,844,752
A1C,4,2,49,46
A1C,4,3,7,6
A1C,4,4,2,2
A1C,7,1,961,854
A1C,7,2,63,59
A1C,7,3,12,11
A1C,7,4,4,3
A1C,7,5,1,1
A1C,30,1,1246,1087
A1C,30,2,127,115
A1C,30,3,23,21
A1C,30,4,5,4
A1C,30,5,1,1
A1C,90,1,1505,1263
A1C,90,2,224,189
A1C,90,3,42,37
A1C,90,4,11,8
A1C,90,5,1,1
AAMINOA,1,1,1,0
AAMINOA,2,1,2,1
AAMINOA,4,1,2,1
AAMINOA,7,1,2,1
AAMINOA,30,1,2,1
AAMINOA,90,1,2,1
ACE,1,1,20,17
ACE,2,1,27,22
ACE,2,2,1,1
ACE,4,1,40,31
ACE,4,2,4,3
ACE,7,1,42,33
ACE,7,2,6,5
ACE,30,1,44,35
ACE,30,2,5,4
ACE,30,3,1,1
ACE,90,1,45,36
ACE,90,2,6,4
ACE,90,3,1,1
ADG1,1,1,1,0
ADG1,2,1,1,0
ADG1,4,1,3,2
ADG1,7,1,3,2
ADG1,30,1,3,2
ADG1,90,1,3,2
ADM1,1,1,1,0
ADM1,2,1,1,0
ADM1,4,1,3,2
ADM1,7,1,3,2
ADM1,30,1,3,2
ADM1,90,1,3,2
ADMACT,4,1,1,0
ADMACT,7,1,1,0
ADMACT,30,1,2,0
ADMACT,90,1,2,0
ADMINH,30,1,3,3
ADMINH,90,1,3,3
AFP,1,1,35,33
AFP,2,1,40,38
AFP,2,2,1,1
AFP,4,1,46,44
AFP,4,2,3,3
AFP,7,1,51,48
AFP,7,2,3,3
AFP,30,1,64,59
AFP,30,2,4,4
AFP,90,1,73,65
AFP,90,2,6,6
AFP,90,3,1,1
AFP,90,4,1,1
AG,1,1,257976,225974
AG,1,2,76050,68412
AG,1,3,22190,20222
AG,1,4,8570,7881
AG,1,5,3738,3469
AG,2,1,205553,178826
AG,2,2,156313,139406
AG,2,3,63685,57626
AG,2,4,39537,36311
AG,2,5,32565,30140
AG,4,1,126749,106064
AG,4,2,89740,78215
AG,4,3,96740,87679
AG,4,4,79437,72944
AG,4,5,114635,106027
AG,7,1,122737,102341
AG,7,2,86438,75122
AG,7,3,62105,55131
AG,7,4,45456,41147
AG,7,5,194262,180446
AG,30,1,116268,96316
AG,30,2,81547,70550
AG,30,3,58678,51863
AG,30,4,43982,39679
AG,30,5,219615,203889
AG,90,1,111732,92064
AG,90,2,78673,67851
AG,90,3,57179,50387
AG,90,4,43236,38924
AG,90,5,236310,219322
AGALA,1,1,44,39
AGALA,2,1,45,40
AGALA,4,1,46,40
AGALA,4,2,1,0
