raw,lab
CREAT,CR
PO2,PO2A
PO2,PO2V
PCO2,PCO2A
PCO2,PCO2V
PO4,PHOS
CAI,CAION
TRPI,TNI
NA,NA
LACT,LAC
TBILI,TBIL
K,K
ALB,ALB
WBC,WBC
PLT,PLT
ALKP,ALKP
BUN,BUN
CL,CL
CO2,CO2
HGB,HGB
TP,TP
AST,AST
ALT,ALT
DBILI,DBIL
PH37,PHA
