y,y_hat_rf,y_hat_mlp
1,0.5841827918907027,0.4147814
1,0.610146280734516,0.42384866
1,0.5593808155446086,0.4435362
1,0.9417989417989417,0.50702876
1,0.5967728758169935,0.4271108
0,0.7656084656084656,0.42277732
0,0.552552200260111,0.4649254
0,0.5841827918907027,0.51331437
1,0.5495924557562488,0.3935486
0,0.673109243697479,0.47425085
1,0.5424404761904762,0.46180832
1,0.5967728758169935,0.42265895
1,0.5939711516790624,0.5405241
1,0.5841827918907027,0.4199829
1,1.0,0.58890533
0,0.5164274725912656,0.47418645
0,0.5293904355542287,0.46928236
1,0.6199346405228758,0.45230004
1,0.95239651416122,0.5127251
0,0.7307345160286337,0.4670165
0,0.7162464985994398,0.4662065
1,0.5770308123249299,0.43053132
0,0.552552200260111,0.45071706
0,0.767989417989418,0.4680534
0,0.522238455988456,0.434256
1,0.9925925925925926,0.54208183
1,0.6199346405228758,0.5355307
1,0.6473636197774129,0.45429105
1,0.5857359648840379,0.45252138
1,0.5424404761904762,0.4604436
1,0.7481948334889512,0.42519164
1,0.5939711516790624,0.5377795
0,0.5656022408963585,0.38762057
1,0.42506253006253003,0.5286635
1,0.522238455988456,0.42239276
0,0.7815281668222844,0.47157407
1,0.9764705882352942,0.53469574
1,0.6485060690943044,0.5004298
1,0.7651260504201681,0.51210976
1,0.6199346405228758,0.4191658
1,0.9703703703703704,0.43128794
1,0.683115468409586,0.4265885
1,0.6157018362900717,0.39989182
0,0.5361904761904761,0.5374583
1,0.6254901960784314,0.50132227
1,0.5753906006847183,0.46220636
1,0.522238455988456,0.46326512
0,0.6199346405228758,0.42254624
1,0.8730314347961408,0.52733237
1,0.5841827918907027,0.54093057
1,0.585344304388422,0.48087496
1,0.9703703703703704,0.423098
1,0.5841827918907027,0.5119943
1,0.8635309679427327,0.41625613
0,0.5656022408963585,0.4205198
1,0.552552200260111,0.47077838
1,0.5755559446000622,0.42783296
0,0.5495924557562488,0.4385259
0,0.5770308123249299,0.42830268
1,0.6852941176470588,0.42412314
0,0.5495924557562488,0.5375687
0,0.5495924557562488,0.4512095
0,0.610146280734516,0.4667865
0,0.5293904355542287,0.42368373
1,0.6387177093059446,0.42458263
1,1.0,0.53794134
1,1.0,0.585017
1,0.6857234081372012,0.45457995
1,0.7270308123249299,0.5330823
0,0.5293904355542287,0.5102152
1,0.6850140056022409,0.4680805
1,0.24435736677115988,0.4809463
1,0.9925925925925926,0.5075791
1,0.9925925925925926,0.5373268
1,0.5656022408963585,0.65604854
1,0.9468409586056644,0.53510606
0,0.522238455988456,0.43688202
1,0.9925925925925926,0.53246
1,0.7138655462184874,0.41609398
0,0.7688297541238718,0.45133284
0,0.5293904355542287,0.4449561
0,0.5939711516790624,0.5172699
0,0.6199346405228758,0.42289558
