provider_id,start_date,end_date,rotation_id,role
S0046640,2016-01-09 00:00:00,2016-01-23,5,R2
S0049443,2013-01-05 00:00:00,2013-02-02,2,R1
S0049443,2013-02-02 00:00:00,2013-02-16,5,R1
S0049443,2013-03-02 00:00:00,2013-03-30,2,R1
S0049443,2013-05-25 00:00:00,2013-06-25,2,R1
S0049443,2013-07-01 00:00:00,2013-07-27,22,R2
S0049443,2013-08-10 00:00:00,2013-08-24,5,R2
S0049443,2013-10-19 00:00:00,2013-11-16,27,R2
S0049443,2014-06-14 00:00:00,2014-07-01,5,R2
S0049443,2014-07-01 00:00:00,2014-07-26,2,R3
S0049443,2014-12-28 00:00:00,2015-01-10,22,R3
S0050270,2016-08-20 00:00:00,2016-09-03,5,R1
S0050270,2016-09-17 00:00:00,2016-10-15,2,R1
S0050270,2017-03-25 00:00:00,2017-04-22,2,R1
S0050270,2017-04-22 00:00:00,2017-05-06,5,R1
S0056478,2012-07-28 00:00:00,2012-08-11,5,R3
S0056478,2012-08-25 00:00:00,2012-09-22,2,R3
S0056478,2013-03-09 00:00:00,2013-04-06,27,R3
S0056478,2013-06-01 00:00:00,2013-06-15,5,R3
S0056481,2015-08-15 00:00:00,2015-08-29,5,R1
S0056481,2015-10-10 00:00:00,2015-11-07,2,R1
S0056481,2016-03-26 00:00:00,2016-04-23,2,R1
S0056481,2016-04-23 00:00:00,2016-05-21,22,R1
S0056482,2012-11-17 00:00:00,2012-12-29,27,R3
S0056482,2013-05-04 00:00:00,2013-05-18,5,R3
S0056743,2012-08-18 00:00:00,2012-09-15,2,R1
S0056743,2013-01-05 00:00:00,2013-02-02,2,R1
S0056743,2013-06-08 00:00:00,2013-06-25,5,R1
S0056743,2014-02-08 00:00:00,2014-02-22,5,R2
S0056743,2014-04-05 00:00:00,2014-04-19,5,R2
S0056743,2014-05-31 00:00:00,2014-07-01,27,R2
S0056743,2014-09-06 00:00:00,2014-09-20,5,R3
S0056743,2015-05-30 00:00:00,2015-07-01,27,R3
S0056755,2014-06-25 00:00:00,2014-07-19,22,R1
S0056755,2014-09-13 00:00:00,2014-10-11,2,R1
S0056755,2014-12-06 00:00:00,2014-12-20,5,R1
S0056755,2015-01-24 00:00:00,2015-01-31,2,R1
S0056755,2015-02-28 00:00:00,2015-03-28,2,R1
S0056755,2016-04-30 00:00:00,2016-05-14,5,R2
S0056755,2016-05-28 00:00:00,2016-06-25,27,R2
S0056755,2016-12-28 00:00:00,2017-01-07,27,R3
S0056785,2012-09-08 00:00:00,2012-09-22,5,R2
S0056785,2012-10-20 00:00:00,2012-11-17,27,R2
S0056785,2013-01-12 00:00:00,2013-01-26,5,R2
S0056785,2014-01-11 00:00:00,2014-01-25,5,R3
S0056785,2014-03-08 00:00:00,2014-04-05,2,R3
S0056785,2014-05-03 00:00:00,2014-05-31,2,R3
S0060285,2013-07-20 00:00:00,2013-08-17,2,R1
S0060285,2013-10-12 00:00:00,2013-11-09,2,R1
S0060285,2013-12-21 00:00:00,2014-01-04,5,R1
