base_name,window,consecutive,total,normal
12049R,90,0.0,3,1
12049R,90,NULL,3,1
12078R,1,0.0,439,331
12078R,1,1.0,18,9
12078R,1,NULL,470,346
12078R,2,0.0,413,314
12078R,2,1.0,30,19
12078R,2,2.0,2,0
12078R,2,NULL,470,346
12078R,4,0.0,301,219
12078R,4,1.0,111,96
12078R,4,2.0,8,5
12078R,4,3.0,1,0
12078R,4,NULL,470,346
12078R,7,0.0,245,171
12078R,7,1.0,111,96
12078R,7,2.0,53,46
12078R,7,3.0,4,1
12078R,7,NULL,470,346
12078R,30,0.0,239,168
12078R,30,1.0,56,45
12078R,30,2.0,37,34
12078R,30,3.0,28,24
12078R,30,4.0,17,13
12078R,30,5.0,11,8
12078R,30,NULL,470,346
12078R,90,0.0,236,166
12078R,90,1.0,58,46
12078R,90,2.0,37,34
12078R,90,3.0,28,24
12078R,90,4.0,17,13
12078R,90,5.0,11,8
12078R,90,NULL,470,346
12105R,1,0.0,13,7
12105R,1,NULL,13,7
12105R,2,0.0,13,7
12105R,2,NULL,13,7
12105R,4,0.0,13,7
12105R,4,NULL,13,7
12105R,7,0.0,13,7
12105R,7,NULL,13,7
12105R,30,0.0,11,6
12105R,30,1.0,1,1
12105R,30,NULL,13,7
12105R,90,0.0,10,5
12105R,90,1.0,1,1
12105R,90,2.0,1,1
12105R,90,NULL,13,7
12200R,1,0.0,56,6
12200R,1,1.0,1,0
12200R,1,NULL,57,6
12200R,2,0.0,55,6
12200R,2,1.0,1,0
12200R,2,NULL,57,6
12200R,4,0.0,54,6
12200R,4,1.0,1,0
12200R,4,NULL,57,6
12200R,7,0.0,53,6
12200R,7,1.0,1,0
12200R,7,NULL,57,6
12200R,30,0.0,52,6
12200R,30,1.0,1,0
12200R,30,NULL,57,6
12200R,90,0.0,52,6
12200R,90,1.0,1,0
12200R,90,NULL,57,6
12202R,1,0.0,56,25
12202R,1,NULL,57,25
12202R,2,0.0,55,24
12202R,2,NULL,57,25
12202R,4,0.0,54,24
12202R,4,NULL,57,25
12202R,7,0.0,53,23
12202R,7,NULL,57,25
12202R,30,0.0,52,22
12202R,30,NULL,57,25
12202R,90,0.0,52,22
12202R,90,NULL,57,25
12203R,1,0.0,56,31
12203R,1,NULL,57,31
12203R,2,0.0,55,30
12203R,2,NULL,57,31
12203R,4,0.0,54,30
12203R,4,NULL,57,31
12203R,7,0.0,53,29
12203R,7,NULL,57,31
12203R,30,0.0,52,29
12203R,30,NULL,57,31
12203R,90,0.0,52,29
12203R,90,NULL,57,31
12239R,1,0.0,101,87
12239R,1,1.0,1,1
12239R,1,NULL,102,88
12239R,2,0.0,99,85
12239R,2,1.0,3,3
12239R,2,NULL,102,88
12239R,4,0.0,99,85
12239R,4,1.0,1,1
12239R,4,2.0,1,1
12239R,4,3.0,1,1
12239R,4,NULL,102,88
12239R,7,0.0,98,84
12239R,7,1.0,2,2
12239R,7,2.0,1,1
12239R,7,3.0,1,1
12239R,7,NULL,102,88
12239R,30,0.0,97,83
12239R,30,1.0,2,2
12239R,30,2.0,1,1
12239R,30,3.0,1,1
12239R,30,4.0,1,1
12239R,30,NULL,102,88
12239R,90,0.0,94,81
12239R,90,1.0,3,2
12239R,90,2.0,1,1
12239R,90,3.0,1,1
12239R,90,4.0,1,1
12239R,90,5.0,1,1
12239R,90,NULL,102,88
12243R,1,0.0,11,3
12243R,1,NULL,11,3
12243R,2,0.0,10,2
12243R,2,NULL,11,3
12243R,4,0.0,10,2
12243R,4,NULL,11,3
12243R,7,0.0,9,2
12243R,7,NULL,11,3
12243R,30,0.0,8,1
12243R,30,NULL,11,3
12243R,90,0.0,8,1
12243R,90,NULL,11,3
12244R,1,0.0,11,3
12244R,1,NULL,11,3
12244R,2,0.0,10,2
12244R,2,NULL,11,3
12244R,4,0.0,10,2
12244R,4,NULL,11,3
12244R,7,0.0,9,2
12244R,7,NULL,11,3
12244R,30,0.0,8,1
12244R,30,NULL,11,3
12244R,90,0.0,8,1
12244R,90,NULL,11,3
12245R,1,0.0,11,3
12245R,1,NULL,11,3
12245R,2,0.0,10,2
12245R,2,NULL,11,3
12245R,4,0.0,10,2
12245R,4,NULL,11,3
12245R,7,0.0,9,2
12245R,7,NULL,11,3
12245R,30,0.0,8,2
12245R,30,NULL,11,3
12245R,90,0.0,8,2
12245R,90,NULL,11,3
12246R,1,0.0,11,5
12246R,1,NULL,11,5
12246R,2,0.0,10,4
12246R,2,NULL,11,5
12246R,4,0.0,10,4
12246R,4,NULL,11,5
12246R,7,0.0,9,4
12246R,7,NULL,11,5
12246R,30,0.0,8,3
12246R,30,NULL,11,5
12246R,90,0.0,8,3
12246R,90,NULL,11,5
12247R,1,0.0,11,7
12247R,1,NULL,11,7
12247R,2,0.0,10,6
12247R,2,NULL,11,7
12247R,4,0.0,10,6
12247R,4,NULL,11,7
12247R,7,0.0,9,6
12247R,7,NULL,11,7
12247R,30,0.0,8,5
12247R,30,NULL,11,7
12247R,90,0.0,8,5
12247R,90,NULL,11,7
12248R,1,0.0,11,5
12248R,1,NULL,11,5
12248R,2,0.0,10,5
12248R,2,NULL,11,5
12248R,4,0.0,10,5
12248R,4,NULL,11,5
12248R,7,0.0,9,5
12248R,7,NULL,11,5
12248R,30,0.0,8,4
12248R,30,NULL,11,5
12248R,90,0.0,8,4
12248R,90,NULL,11,5
12249R,1,0.0,11,4
12249R,1,NULL,11,4
12249R,2,0.0,10,3
12249R,2,NULL,11,4
12249R,4,0.0,10,3
12249R,4,NULL,11,4
12249R,7,0.0,9,3
12249R,7,NULL,11,4
12249R,30,0.0,8,2
12249R,30,NULL,11,4
12249R,90,0.0,8,2
12249R,90,NULL,11,4
12250R,1,0.0,11,3
12250R,1,NULL,11,3
12250R,2,0.0,10,2
12250R,2,NULL,11,3
12250R,4,0.0,10,2
12250R,4,NULL,11,3
12250R,7,0.0,9,2
12250R,7,NULL,11,3
12250R,30,0.0,8,2
12250R,30,NULL,11,3
12250R,90,0.0,8,2
12250R,90,NULL,11,3
12251R,1,0.0,11,2
12251R,1,NULL,11,2
12251R,2,0.0,10,1
12251R,2,NULL,11,2
12251R,4,0.0,10,1
12251R,4,NULL,11,2
12251R,7,0.0,9,1
12251R,7,NULL,11,2
12251R,30,0.0,8,1
12251R,30,NULL,11,2
12251R,90,0.0,8,1
12251R,90,NULL,11,2
12252R,1,0.0,11,5
12252R,1,NULL,11,5
12252R,2,0.0,10,4
12252R,2,NULL,11,5
12252R,4,0.0,10,4
12252R,4,NULL,11,5
12252R,7,0.0,9,4
12252R,7,NULL,11,5
12252R,30,0.0,8,3
12252R,30,NULL,11,5
12252R,90,0.0,8,3
12252R,90,NULL,11,5
12253R,1,0.0,11,3
12253R,1,NULL,11,3
12253R,2,0.0,10,3
12253R,2,NULL,11,3
12253R,4,0.0,10,3
12253R,4,NULL,11,3
12253R,7,0.0,9,3
12253R,7,NULL,11,3
12253R,30,0.0,8,2
12253R,30,NULL,11,3
12253R,90,0.0,8,2
12253R,90,NULL,11,3
12256R,1,0.0,11,2
12256R,1,NULL,11,2
12256R,2,0.0,10,1
12256R,2,NULL,11,2
12256R,4,0.0,10,1
12256R,4,NULL,11,2
12256R,7,0.0,9,1
12256R,7,NULL,11,2
12256R,30,0.0,8,1
12256R,30,NULL,11,2
12256R,90,0.0,8,1
12256R,90,NULL,11,2
12257R,1,0.0,11,2
12257R,1,NULL,11,2
12257R,2,0.0,10,1
12257R,2,NULL,11,2
12257R,4,0.0,10,1
12257R,4,NULL,11,2
12257R,7,0.0,9,1
12257R,7,NULL,11,2
12257R,30,0.0,8,1
12257R,30,NULL,11,2
12257R,90,0.0,8,1
12257R,90,NULL,11,2
12258R,1,0.0,11,4
12258R,1,NULL,11,4
12258R,2,0.0,10,4
12258R,2,NULL,11,4
12258R,4,0.0,10,4
12258R,4,NULL,11,4
12258R,7,0.0,9,4
12258R,7,NULL,11,4
12258R,30,0.0,8,3
12258R,30,NULL,11,4
12258R,90,0.0,8,3
12258R,90,NULL,11,4
12259R,1,0.0,11,4
12259R,1,NULL,11,4
12259R,2,0.0,10,3
12259R,2,NULL,11,4
12259R,4,0.0,10,3
12259R,4,NULL,11,4
12259R,7,0.0,9,3
12259R,7,NULL,11,4
12259R,30,0.0,8,3
12259R,30,NULL,11,4
12259R,90,0.0,8,3
12259R,90,NULL,11,4
12260R,1,0.0,11,3
12260R,1,NULL,11,3
12260R,2,0.0,10,3
12260R,2,NULL,11,3
12260R,4,0.0,10,3
12260R,4,NULL,11,3
12260R,7,0.0,9,3
12260R,7,NULL,11,3
12260R,30,0.0,8,2
12260R,30,NULL,11,3
12260R,90,0.0,8,2
12260R,90,NULL,11,3
12261R,1,0.0,11,5
12261R,1,NULL,11,5
12261R,2,0.0,10,4
12261R,2,NULL,11,5
12261R,4,0.0,10,4
12261R,4,NULL,11,5
12261R,7,0.0,9,4
12261R,7,NULL,11,5
12261R,30,0.0,8,3
12261R,30,NULL,11,5
12261R,90,0.0,8,3
12261R,90,NULL,11,5
12262R,1,0.0,11,5
12262R,1,NULL,11,5
12262R,2,0.0,10,4
12262R,2,NULL,11,5
12262R,4,0.0,10,4
12262R,4,NULL,11,5
12262R,7,0.0,9,4
12262R,7,NULL,11,5
12262R,30,0.0,8,3
12262R,30,NULL,11,5
12262R,90,0.0,8,3
12262R,90,NULL,11,5
12263R,1,0.0,11,2
12263R,1,NULL,11,2
12263R,2,0.0,10,1
12263R,2,NULL,11,2
12263R,4,0.0,10,1
12263R,4,NULL,11,2
12263R,7,0.0,9,1
12263R,7,NULL,11,2
12263R,30,0.0,8,1
12263R,30,NULL,11,2
12263R,90,0.0,8,1
12263R,90,NULL,11,2
12265R,1,0.0,11,4
12265R,1,NULL,11,4
12265R,2,0.0,10,4
12265R,2,NULL,11,4
12265R,4,0.0,10,4
12265R,4,NULL,11,4
12265R,7,0.0,9,4
12265R,7,NULL,11,4
12265R,30,0.0,8,3
12265R,30,NULL,11,4
12265R,90,0.0,8,3
12265R,90,NULL,11,4
12266R,1,0.0,11,4
12266R,1,NULL,11,4
12266R,2,0.0,10,4
12266R,2,NULL,11,4
12266R,4,0.0,10,4
12266R,4,NULL,11,4
12266R,7,0.0,9,4
12266R,7,NULL,11,4
12266R,30,0.0,8,3
12266R,30,NULL,11,4
12266R,90,0.0,8,3
12266R,90,NULL,11,4
12267R,1,0.0,11,3
12267R,1,NULL,11,3
12267R,2,0.0,10,2
12267R,2,NULL,11,3
12267R,4,0.0,10,2
12267R,4,NULL,11,3
12267R,7,0.0,9,2
12267R,7,NULL,11,3
12267R,30,0.0,8,1
12267R,30,NULL,11,3
12267R,90,0.0,8,1
12267R,90,NULL,11,3
12268R,1,0.0,11,4
12268R,1,NULL,11,4
12268R,2,0.0,10,3
12268R,2,NULL,11,4
12268R,4,0.0,10,3
12268R,4,NULL,11,4
12268R,7,0.0,9,3
12268R,7,NULL,11,4
12268R,30,0.0,8,2
12268R,30,NULL,11,4
12268R,90,0.0,8,2
12268R,90,NULL,11,4
12269R,1,0.0,11,1
12269R,1,NULL,11,1
12269R,2,0.0,10,1
12269R,2,NULL,11,1
12269R,4,0.0,10,1
12269R,4,NULL,11,1
12269R,7,0.0,9,1
12269R,7,NULL,11,1
12269R,30,0.0,8,0
12269R,30,NULL,11,1
12269R,90,0.0,8,0
12269R,90,NULL,11,1
12270R,1,0.0,11,3
12270R,1,NULL,11,3
12270R,2,0.0,10,2
12270R,2,NULL,11,3
12270R,4,0.0,10,2
12270R,4,NULL,11,3
12270R,7,0.0,9,2
12270R,7,NULL,11,3
12270R,30,0.0,8,1
12270R,30,NULL,11,3
12270R,90,0.0,8,1
12270R,90,NULL,11,3
12271R,1,0.0,11,2
12271R,1,NULL,11,2
12271R,2,0.0,10,2
12271R,2,NULL,11,2
12271R,4,0.0,10,2
12271R,4,NULL,11,2
12271R,7,0.0,9,2
12271R,7,NULL,11,2
12271R,30,0.0,8,1
12271R,30,NULL,11,2
12271R,90,0.0,8,1
12271R,90,NULL,11,2
12273R,1,0.0,11,5
12273R,1,NULL,11,5
12273R,2,0.0,10,4
12273R,2,NULL,11,5
12273R,4,0.0,10,4
12273R,4,NULL,11,5
12273R,7,0.0,9,4
12273R,7,NULL,11,5
12273R,30,0.0,8,3
12273R,30,NULL,11,5
12273R,90,0.0,8,3
12273R,90,NULL,11,5
12274R,1,0.0,11,1
12274R,1,NULL,11,1
12274R,2,0.0,10,0
12274R,2,NULL,11,1
12274R,4,0.0,10,0
12274R,4,NULL,11,1
12274R,7,0.0,9,0
12274R,7,NULL,11,1
12274R,30,0.0,8,0
12274R,30,NULL,11,1
12274R,90,0.0,8,0
12274R,90,NULL,11,1
12275R,1,0.0,11,4
12275R,1,NULL,11,4
12275R,2,0.0,10,3
12275R,2,NULL,11,4
12275R,4,0.0,10,3
12275R,4,NULL,11,4
12275R,7,0.0,9,3
12275R,7,NULL,11,4
12275R,30,0.0,8,2
12275R,30,NULL,11,4
12275R,90,0.0,8,2
12275R,90,NULL,11,4
12276R,1,0.0,11,4
12276R,1,NULL,11,4
12276R,2,0.0,10,3
12276R,2,NULL,11,4
12276R,4,0.0,10,3
12276R,4,NULL,11,4
12276R,7,0.0,9,3
12276R,7,NULL,11,4
12276R,30,0.0,8,2
12276R,30,NULL,11,4
12276R,90,0.0,8,2
12276R,90,NULL,11,4
12293R,1,0.0,18,5
12293R,1,NULL,20,5
12293R,2,0.0,17,5
12293R,2,NULL,20,5
12293R,4,0.0,15,5
12293R,4,NULL,20,5
12293R,7,0.0,14,4
12293R,7,NULL,20,5
12293R,30,0.0,14,4
12293R,30,NULL,20,5
12293R,90,0.0,14,4
12293R,90,NULL,20,5
12294R,1,0.0,18,7
12294R,1,NULL,20,7
12294R,2,0.0,17,7
12294R,2,NULL,20,7
12294R,4,0.0,15,6
12294R,4,1.0,1,0
12294R,4,NULL,20,7
12294R,7,0.0,14,5
12294R,7,1.0,1,0
12294R,7,NULL,20,7
12294R,30,0.0,14,5
12294R,30,1.0,1,0
12294R,30,NULL,20,7
12294R,90,0.0,14,5
12294R,90,1.0,1,0
12294R,90,NULL,20,7
12295R,1,0.0,18,5
12295R,1,NULL,20,5
12295R,2,0.0,17,5
12295R,2,NULL,20,5
12295R,4,0.0,15,5
12295R,4,NULL,20,5
12295R,7,0.0,14,4
12295R,7,NULL,20,5
12295R,30,0.0,14,4
12295R,30,NULL,20,5
12295R,90,0.0,14,4
12295R,90,NULL,20,5
12297R,1,0.0,18,6
12297R,1,NULL,20,6
12297R,2,0.0,17,6
12297R,2,NULL,20,6
12297R,4,0.0,15,4
12297R,4,1.0,1,1
12297R,4,NULL,20,6
12297R,7,0.0,14,3
12297R,7,1.0,1,1
12297R,7,NULL,20,6
12297R,30,0.0,14,3
12297R,30,1.0,1,1
12297R,30,NULL,20,6
12297R,90,0.0,14,3
12297R,90,1.0,1,1
12297R,90,NULL,20,6
12299R,1,0.0,18,6
12299R,1,NULL,20,6
12299R,2,0.0,17,6
12299R,2,NULL,20,6
12299R,4,0.0,15,4
12299R,4,1.0,1,1
12299R,4,NULL,20,6
12299R,7,0.0,14,3
12299R,7,1.0,1,1
12299R,7,NULL,20,6
12299R,30,0.0,14,3
12299R,30,1.0,1,1
12299R,30,NULL,20,6
12299R,90,0.0,14,3
12299R,90,1.0,1,1
12299R,90,NULL,20,6
12300R,1,0.0,18,7
12300R,1,NULL,20,7
12300R,2,0.0,17,7
12300R,2,NULL,20,7
12300R,4,0.0,15,5
12300R,4,1.0,1,1
12300R,4,NULL,20,7
12300R,7,0.0,14,4
12300R,7,1.0,1,1
12300R,7,NULL,20,7
12300R,30,0.0,14,4
12300R,30,1.0,1,1
12300R,30,NULL,20,7
12300R,90,0.0,14,4
12300R,90,1.0,1,1
12300R,90,NULL,20,7
12301R,1,0.0,18,7
12301R,1,NULL,20,7
12301R,2,0.0,17,7
12301R,2,NULL,20,7
12301R,4,0.0,15,5
12301R,4,1.0,1,1
12301R,4,NULL,20,7
12301R,7,0.0,14,4
12301R,7,1.0,1,1
12301R,7,NULL,20,7
12301R,30,0.0,14,4
12301R,30,1.0,1,1
12301R,30,NULL,20,7
12301R,90,0.0,14,4
12301R,90,1.0,1,1
12301R,90,NULL,20,7
12302R,1,0.0,18,7
12302R,1,NULL,20,7
12302R,2,0.0,17,7
12302R,2,NULL,20,7
12302R,4,0.0,15,5
12302R,4,1.0,1,1
12302R,4,NULL,20,7
12302R,7,0.0,14,4
12302R,7,1.0,1,1
12302R,7,NULL,20,7
12302R,30,0.0,14,4
