preceding,Sodium,Potassium,Creatinine,Magnesium,Phosphorus,White Cells,Hemoglobin,Platelets
0,0.45571730745302974,0.4806838978164406,0.36885471024443833,0.5018653463965692,0.4541820785109176,0.4145318352059925,0.21107989505212565,0.31898219814241485
1,0.7928633017178484,0.7322695035460993,0.8535170413343002,0.7427870378204586,0.7322860150619483,0.8053863027053375,0.6496918109773995,0.8091097308488613
2,0.8408361691784152,0.7756033258973839,0.9143394588337433,0.8017656500802568,0.7777777777777778,0.8377538334024036,0.7142438452520515,0.8341369334619093
3,0.8484150636683826,0.8110273327049953,0.9303785428951874,0.8281531983156206,0.8171265461465271,0.861579121242154,0.7744593202883625,0.8533123028391167
4,0.8674103877103145,0.816188107619263,0.9438490214352283,0.8259880580039807,0.8308391234633885,0.8733099649474211,0.7842493847415914,0.8763837638376384
5,0.87782173609495,0.8460579619819258,0.9559530165509877,0.8436213991769548,0.8528902734510211,0.8868613138686131,0.8048192771084337,0.8845789971617786
6,0.8655080213903743,0.8495642288745737,0.9563567362428842,0.8569188553508428,0.852394143252869,0.8768472906403941,0.851520572450805,0.875
