preceding,Sodium,Potassium,Creatinine,Magnesium,Phosphorus,White Cells,Hemoglobin,Platelets,Tacrolimus,Uric Acid,LDH
-1,0.8320471373448743,0.8404917603975935,0.7854063879511816,0.7007454739084132,0.7104734762614159,0.5931210667331298,0.327780142275187,0.62361968931312,0.8921529175050302,0.8926426426426426,0.6017748197448697
0,0.43162913907284767,0.4667764318475832,0.17218234361890555,0.3595468177274242,0.3740016767418259,0.13414634146341464,0.045855166252143045,0.09752025010657951,0.7031055900621118,0.25203252032520324,0.13147138964577657
1,0.8495511470686025,0.8643737109091922,0.9028381865093992,0.7777140398680625,0.7457277744530887,0.7702337414533312,0.6068575233022636,0.8444935418082937,0.949702789208962,0.9308510638297872,0.8493626882966396
2,0.8845521774856204,0.8976474432282306,0.9464948453608247,0.8458164642375169,0.8204344503875123,0.8196022727272727,0.6938775510204082,0.8601962158374211,0.9522935779816514,0.9555555555555556,0.8983364140480592
3,0.9045957651588066,0.9224117784529096,0.9622668174109666,0.8836499321573948,0.8476380572188955,0.8381344307270233,0.7247311827956989,0.8838199513381995,0.9636222910216719,0.957983193277311,0.9313984168865436
4,0.907608695652174,0.9251054852320675,0.9733824733824734,0.8859696641386782,0.8619432143787444,0.8396946564885496,0.7602040816326531,0.8995983935742972,0.9637681159420289,0.9847715736040609,0.9385665529010239
5,0.9090909090909091,0.9260442260442261,0.9747693977211069,0.8916967509025271,0.8585013313046785,0.8464730290456431,0.7916666666666666,0.9065281899109793,0.96,0.9813084112149533,0.9516908212560387
6,0.91798810703667,0.9403690369036903,0.9778206364513018,0.9003503308680421,0.88389662027833,0.8747203579418344,0.8055555555555556,0.8990228013029316,0.9608610567514677,0.9803921568627451,0.948051948051948
